Feature_ID	Taxonomy
AB016606.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Scincidae;g__Plestiodon;s__egregius lividus
AB016669.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Cypriniformes;f__Acheilognathidae;g__Acheilognathus;s__barbatulus
AB016670.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Cypriniformes;f__Acheilognathidae;g__Acheilognathus;s__barbatulus
AB016671.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Cypriniformes;f__Acheilognathidae;g__Acheilognathus;s__chankaensis
AB016672.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Cypriniformes;f__Acheilognathidae;g__Acheilognathus;s__cyanostigma
AB016674.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Cypriniformes;f__Acheilognathidae;g__Acheilognathus;s__longipinnis
AB016677.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Cypriniformes;f__Acheilognathidae;g__Acheilognathus;s__tabira ssp. (a) MO-2000
AB016678.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Cypriniformes;f__Acheilognathidae;g__Acheilognathus;s__tabira ssp. (b) MO-2000
AB016680.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Cypriniformes;f__Acheilognathidae;g__Acheilognathus;s__tonkinensis
AB016681.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Cypriniformes;f__Acheilognathidae;g__Acheilognathus;s__typus
AB016683.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Cypriniformes;f__Gobionidae;g__Abbottina;s__rivularis
AB016686.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Cypriniformes;f__Acheilognathidae;g__Rhodeus;s__atremius suigensis
AB016688.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Cypriniformes;f__Acheilognathidae;g__Rhodeus;s__atremius suigensis
AB016689.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Cypriniformes;f__Acheilognathidae;g__Rhodeus;s__atremius suigensis
